,Phone Name,Rating,Price,Memory,Display,Camera,Battery
0,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",4.1,"₹8,499",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
1,"vivo T4x 5G (Pronto Purple, 128 GB)",4.5,"₹14,999",8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery
2,"Motorola g45 5G (Brilliant Blue, 128 GB)",4.3,"₹11,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
3,"POCO M7 5G (Mint Green, 128 GB)",4.1,"₹9,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery
4,"REDMI 13 5G (Orchid Pink, 128 GB)",4.3,"₹12,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Lithium Polymer Battery
5,"CMF by Nothing Phone 2 Pro (White, 128 GB)",4.4,"₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery
6,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",4.1,"₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
7,"POCO C71 (Power Black, 128 GB)",4.1,"₹6,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery
8,"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)",4.4,"₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery
9,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)",4.5,"₹17,999",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP + 2MP | 16MP Front Camera,7000 mAh Battery
10,"Motorola g45 5G (Pink Lavender, 128 GB)",4.3,"₹11,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
11,"POCO M7 Pro 5G (Lunar Dust, 128 GB)",4.3,"₹12,999",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery
12,"REDMI A3X (Midnight Black, 64 GB)",4.1,"₹5,999",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery
13,"Samsung Galaxy F16 5G (Bling Black, 128 GB)",4.2,"₹10,749",4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery
14,"Motorola g45 5G (Pink Lavender, 128 GB)",4.3,"₹10,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
15,"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)",4.2,"₹10,749",4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery
16,"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 256 GB)",4.5,"₹19,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP + 2MP | 16MP Front Camera,7000 mAh Battery
17,"OPPO Reno 12 5G (Matte Brown, 256 GB)",4.4,"₹20,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery
18,"POCO M7 5G (Mint Green, 128 GB)",4.2,"₹10,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery
19,"CMF by Nothing Phone 1 (Light Green, 128 GB)",4.4,"₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
20,"Motorola g45 5G (Brilliant Green, 128 GB)",4.3,"₹11,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
21,"MOTOROLA g35 5G (Midnight Black, 128 GB)",4.2,"₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery
22,"Infinix Note 50s 5G+ (Burgundy Red, 128 GB)",4.4,"₹15,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 13MP Front Camera,5500 mAh Battery
23,"IQOO Z10X 5G (Titanium, 128 GB)",4.4,"₹13,859",6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500 mAh Battery
24,"REDMI 13 5G (Orchid Pink, 128 GB)",4.3,"₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Lithium Polymer Battery
25,"vivo T4x 5G (Marine Blue, 256 GB)",4.5,"₹16,999",8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery
26,"POCO M7 5G (Ocean Blue, 128 GB)",4.1,"₹9,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery
27,Nokia 105 Classic with Charger,3.7,₹999,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery
28,"REDMI 13 5G (Hawaiian Blue, 128 GB)",4.3,"₹12,100",6 GB RAM | 128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,108MP Rear Camera,5030 mAh Battery
29,"realme C61 (Marble Black, 128 GB)",4.3,"₹8,199",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery
30,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",4.1,"₹9,799",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
31,"realme P2 Pro 5G (Parrot Green, 128 GB)",4.4,"₹16,499",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5200 mAh Battery
32,"realme C61 (Marble Black, 64 GB)",4.3,"₹7,699",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery
33,Kechaoda A26_Pink,4,₹945,32 MB RAM | 16 GB ROM | Expandable Upto 32 MB,1.68 cm (0.66 inch) NA Display,0MP | 0MP Front Camera,800 mAh Battery
34,"POCO C71 (Desert Gold, 128 GB)",4.1,"₹6,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery
35,"POCO M6 Plus 5G (Misty Lavender, 128 GB)",4.2,"₹11,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Battery
36,Nokia 105 Classic with Charger,3.7,₹989,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery
37,Nokia 105 Classic with Charger,3.7,₹999,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery
38,"realme Narzo N61 (Vyage Blue, 64 GB)",4.3,"₹7,298",4 GB RAM | 64 GB ROM,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery
39,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",4.1,"₹8,499",4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
40,"OnePlus 13R 5G (Nebula Noir, 512 GB)",4.5,"₹42,748",16 GB RAM | 512 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6000 mAh Battery
41,"REDMI 14C 5G (Stardust Purple, 64 GB)",4.2,"₹9,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery
42,"vivo T4x 5G (Marine Blue, 128 GB)",4.5,"₹14,999",8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery
43,"REDMI A5 (Jaisalmer Gold, 64 GB)",4.3,"₹6,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery
44,"CMF by Nothing Phone 1 (Black, 128 GB)",4.4,"₹15,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
45,"IQOO Z10X 5G (Ultramarine, 128 GB)",4.4,"₹13,832",6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500 mAh Battery
46,"Samsung Galaxy F16 5G (Glam Green, 128 GB)",4.2,"₹11,999",6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery
47,"Samsung Galaxy M35 5G (Thunder Grey, 128 GB)",4.4,"₹13,910",6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
48,"Samsung Galaxy S24 5G (Cobalt Violet, 256 GB)",4.6,"₹52,999",8 GB RAM | 256 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery
49,Kechaoda A26,4,₹925,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) QVGA Display,0MP | 0MP Front Camera,800 mAh Battery
50,"Samsung Galaxy S24 5G (Amber Yellow, 128 GB)",4.6,"₹46,999",8 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery
51,"Samsung M05 (Mint Green, 64 GB)",4.3,"₹6,849",4 GB RAM | 64 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5000 mAh Battery
52,LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,4,₹988,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Quarter QVGA Display,1000 mAh Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box
53,LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,4,₹989,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Quarter QVGA Display,1000 mAh Battery,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box
54,"MOTOROLA Edge 60 Stylus (PANTONE Surf the Web, 256 GB)",4.3,"₹22,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
55,"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 256 GB)",4.4,"₹29,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery
56,"Motorola Edge 50 Fusion (Forest Green, 128 GB)",4.5,"₹18,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
57,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)",4.4,"₹29,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery
58,"MOTOROLA g35 5G (Guava Red, 128 GB)",4.2,"₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery
59,"Samsung Galaxy M35 5G (DayBreak Blue, 128 GB)",4.4,"₹14,290",6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
60,"Samsung Galaxy F16 5G (Bling Black, 128 GB)",4.2,"₹11,999",6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery
61,itel it2165s,4.1,₹879,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,5.08 cm (2 inch) QVGA Display,0.3MP Rear Camera,1200 mAh Battery
62,"Nothing Phone (3a) (Blue, 256 GB)",4.5,"₹26,999",8 GB RAM | 256 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera,5000 mAh Battery
63,"Nothing Phone (3a) (White, 256 GB)",4.5,"₹26,999",8 GB RAM | 256 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera,5000 mAh Battery
64,"Nothing Phone (3a) (Black, 128 GB)",4.5,"₹24,999",8 GB RAM | 128 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera,5000 mAh Battery
65,"Nothing Phone (3a) (White, 128 GB)",4.5,"₹24,999",8 GB RAM | 128 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera,5000 mAh Battery
66,"Nothing Phone (3a) (Black, 256 GB)",4.5,"₹26,999",8 GB RAM | 256 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera,5000 mAh Battery
67,"Nothing Phone (3a) (Blue, 128 GB)",4.5,"₹24,999",8 GB RAM | 128 GB ROM,43.66 cm (17.19 cm) Full HD+ Display,50MP (Main) + 50MP (2X Tele Photo) + 8MP (Ultra-Wide) | 32MP Front Camera,5000 mAh Battery
68,itel it2165s,4.1,₹879,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,5.08 cm (2 inch) QVGA Display,0.3MP Rear Camera,1200 mAh Battery
69,Kechaoda A26,4,₹945,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) QVGA Display,0MP | 0MP Front Camera,800 mAh Battery
70,Samsung Guru Music 2 B310ED,3.2,₹947,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB,4.57 cm (1.8 inch) VGA Display,0MP | 0MP Front Camera,800 mAh Battery
71,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)",4.3,"₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
72,"realme P3 5G (Space Silver, 256 GB)",4.4,"₹18,499",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,6000 mAh Battery
73,"Motorola Edge 50 Fusion (Forest Blue, 256 GB)",4.4,"₹20,999",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
74,"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)",4.3,"₹21,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
75,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,4.1,"₹1,349",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) Quarter QVGA Display,0.8MP + 0MP | 0MP Front Camera,1900 mAh Battery
76,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,4.1,"₹1,349",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) Quarter QVGA Display,0.8MP + 0MP | 0MP Front Camera,1900 mAh Battery
