,Phone Name,Rating,Price,Memory,Display,Camera,Battery
158,"Apple iPhone 13 (Midnight, 128 GB)",4.6,"₹44,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
159,"Samsung Galaxy S24 FE 5G (Blue, 128 GB)",4.5,"₹35,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery
160,"Samsung Galaxy S24 FE 5G (Graphite, 256 GB)",4.5,"₹41,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery
161,"Samsung Galaxy M35 5G (Moonlight Blue, 256 GB)",4.3,"₹20,475",8 GB RAM | 256 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
162,"Samsung Galaxy S24 5G (Marble Gray, 128 GB)",4.6,"₹46,999",8 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery
163,"Motorola g45 5G (Viva Magenta, 128 GB)",4.3,"₹10,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
164,itel it2175 Pro | 2 inch Big Display | 1200 mAh Battery | Kingvoice,4.1,₹909,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,5.08 cm (2 inch) QVGA Display,0.8MP + 0MP,1200 mAh Battery
165,"REDMI A3X (Olive Green, 64 GB)",4.1,"₹5,999",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery
166,"IQOO Z9s 5G (Onyx Green, 128 GB)",4.4,"₹18,366",8 GB RAM | 128 GB ROM,17.2 cm (6.77 inch) Display,50MP Rear Camera,5500 mAh Battery
167,"Tecno Pova 6 Neo 5G (Azure Sky, 256 GB)",4,"₹13,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery
168,"Tecno Pova 6 Neo 5G (Aurora Cloud, 256 GB)",4,"₹13,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery
169,"Google Pixel 9A (Porcelain, 256 GB)",4.5,"₹49,999",8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,5100 mAh Battery
170,"vivo T3 Pro 5G (Sandstone Orange, 256 GB)",4.5,"₹24,999",8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Full HD+ AMOLED Display,50MP + 8MP | 16MP Front Camera,5500 mAh Battery
171,"IQOO Z10X 5G (Ultramarine, 128 GB)",4.4,"₹13,831",6 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500 mAh Battery
172,"Infinix Note 50s 5G+ (Burgundy Red, 256 GB)",4.4,"₹17,999",8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 13MP Front Camera,5500 mAh Battery
173,"Infinix Note 50s 5G+ (Marine Drift, 128 GB)",4.4,"₹15,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 13MP Front Camera,5500 mAh Battery
174,"Infinix Note 50s 5G+ (Titanium Grey, 256 GB)",4.4,"₹17,999",8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 13MP Front Camera,5500 mAh Battery
175,"IQOO Z10X 5G (Ultramarine, 256 GB)",4.4,"₹16,619",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500 mAh Battery
176,"realme Narzo N61 (Marble Black, 128 GB)",4.2,"₹9,180",6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery
177,"realme Narzo N61 (Voyage Blue, 128 GB)",4.2,"₹9,329",6 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,32MP Rear Camera,5000 mAh Battery
178,"Infinix Note 50x 5G+ (Titanium Grey, 128 GB)",4.3,"₹11,499",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery
179,"Infinix Note 50x 5G+ (Enchanted Purple, 128 GB)",4.3,"₹11,499",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery
180,"Infinix Note 50x 5G+ (Titanium Grey, 128 GB)",4.3,"₹12,999",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery
181,"Infinix Note 50x 5G+ (Sea Breeze Green, 128 GB)",4.3,"₹11,499",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery
182,"Infinix Note 50x 5G+ (Enchanted Purple, 128 GB)",4.3,"₹12,999",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery
183,"Motorola Edge 50 Neo (PANTONE Poinciana, 256 GB)",4.4,"₹19,999",8 GB RAM | 256 GB ROM,16.26 cm (6.4 inch) Super HD Display,50MP + 13MP + 10MP | 32MP Front Camera,4310 mAh Battery
184,"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)",4.3,"₹21,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
185,"MOTOROLA Edge 60 Pro (Pantone Sparkling Grape, 256 GB)",4.4,"₹33,999",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery
186,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)",4.6,"₹86,818",12 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Quad HD+ Display,200MP + 50MP + 12MP + 10MP | 12MP Front Camera,5000 mAh Battery
187,"Apple iPhone 16 (White, 128 GB)",4.6,"₹69,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor"
188,Nokia 105 Classic with Charger,3.7,₹999,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery
189,"CMF by Nothing Phone 2 Pro (Orange, 256 GB)",4.4,"₹20,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery
190,"CMF by Nothing Phone 2 Pro (White, 128 GB)",4.4,"₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery
191,"CMF by Nothing Phone 2 Pro (Light Green, 256 GB)",4.4,"₹20,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery
192,"Infinix SMART 9 HD (Neo Titanium, 64 GB)",4.2,"₹6,699",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery
193,"OnePlus Nord CE4 lite 5G (MEGA BLUE, 256 GB)",4.4,"₹21,226",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,5500 mAh Battery
194,"OPPO Reno 12 5G (Matte Brown, 256 GB)",4.4,"₹20,999",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 32MP Front Camera,5000 mAh Battery
195,"Samsung Galaxy S24 Ultra 5G (Titanium Black, 256 GB)",4.6,"₹85,599",12 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Quad HD+ Display,200MP + 50MP + 12MP + 10MP | 12MP Front Camera,5000 mAh Battery
196,"vivo Y19e (Titanium Silver, 64 GB)",4.3,"₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) Display,13MP + 0.08MP | 5MP Front Camera,5500 mAh Battery
197,Kechaoda A26,4,₹930,32 MB RAM | 16 GB ROM | Expandable Upto 32 MB,1.68 cm (0.66 inch) NA Display,0MP | 0MP Front Camera,800 mAh Battery
198,"Apple iPhone 15 (Black, 128 GB)",4.6,"₹64,900",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
199,"CMF by Nothing Phone 2 Pro (Orange, 128 GB)",4.4,"₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery
200,KARBONN JioBharat K1 4G,3.7,₹800,20 MB RAM | 20 MB ROM,4.57 cm (1.8 inch) Display,2MP Rear Camera,1000 mAh Battery
201,"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)",4.4,"₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery
202,Nokia 105 Classic without Charger,3.9,₹934,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery
203,"CMF by Nothing Phone 2 Pro (Black, 128 GB)",4.4,"₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery
204,Nokia 105 Classic without Charger,3.9,₹999,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery
205,"Apple iPhone 15 (Blue, 128 GB)",4.6,"₹64,900",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A16 Bionic Chip, 6 Core Processor Processor"
206,"realme P2 Pro 5G (Parrot Green, 128 GB)",4.4,"₹16,499",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5200 mAh Battery
207,"Samsung Galaxy S24 Ultra 5G (Titanium Violet, 256 GB)",4.6,"₹85,188",12 GB RAM | 256 GB ROM,17.27 cm (6.8 inch) Quad HD+ Display,200MP + 50MP + 12MP + 10MP | 12MP Front Camera,5000 mAh Battery
208,"REDMI 13 5G (Orchid Pink, 128 GB)",4.3,"₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,108MP + 2MP | 13MP Front Camera,5030 mAh Lithium Polymer Battery
209,"Samsung Galaxy F16 5G (Bling Black, 128 GB)",4.2,"₹10,749",4 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery
210,"Tecno Pova 6 Neo 5G (Azure Sky, 128 GB)",4.3,"₹11,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery
211,"vivo T3 5G (Cosmic Blue, 256 GB)",4.4,"₹18,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
212,"Infinix SMART 9 HD (Mint Green, 64 GB)",4.2,"₹6,699",3 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display,13MP Rear Camera | 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery
213,itel Ace 3 Shine,4,₹839,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) QVGA Display,1000 mAh Battery,Unisoc Processor
214,itel Ace 3 Shine,4,₹839,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) QVGA Display,1000 mAh Battery,Unisoc Processor
215,"Google Pixel 8a (Porcelain, 128 GB)",4.3,"₹37,999",8 GB RAM | 128 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,64MP + 13MP | 13MP Front Camera,4404 mAh Battery
216,"REDMI A4 5G only on Jio SIM (Sparkle Purple, 64 GB)",4.3,"₹8,899",4 GB RAM | 64 GB ROM,17.48 cm (6.88 inch) Display,50MP Rear Camera,5160 mAh Battery
217,"Apple iPhone 16 (Ultramarine, 256 GB)",4.6,"₹79,999",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor"
218,"Tecno Pova 6 Neo 5G (Aurora Cloud, 128 GB)",4.3,"₹11,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery
219,"Google Pixel 9A (Iris, 256 GB)",4.5,"₹49,999",8 GB RAM | 256 GB ROM,15.96 cm (6.285 inch) Full HD+ Display,48MP + 12MP | 12MP Front Camera,5100 mAh Battery
220,"Tecno Pova Curve 5G (Magic Silver, 128 GB)",4.4,"₹16,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Display,64MP Rear Camera | 13MP Front Camera,5500 mAh Battery
221,HOTLINE Classic V66,3.6,₹549,32 MB RAM | 32 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,1000 mAh Battery
222,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",4.1,"₹7,999",4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
223,"OnePlus 13R 5G (Nebula Noir, 256 GB)",4.5,"₹40,490",12 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6000 mAh Battery
224,"REDMI A4 5G only on Jio SIM (Starry Black, 128 GB)",4.3,"₹9,460",4 GB RAM | 128 GB ROM,17.48 cm (6.88 inch) Display,50MP Rear Camera,5160 mAh Battery
225,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",3.9,"₹1,348",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display,0MP Front Camera,800 mAh Lithium Ion Battery
226,itel it2165s,4.1,₹879,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,5.08 cm (2 inch) QVGA Display,0.3MP Rear Camera,1200 mAh Battery
227,"Samsung Galaxy M35 5G (Thunder Grey, 256 GB)",4.3,"₹18,890",8 GB RAM | 256 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
228,"Apple iPhone 16 Pro (Black Titanium, 128 GB)",4.7,"₹1,09,900",128 GB ROM,16.0 cm (6.3 inch) Super Retina XDR Display,48MP + 48MP + 12MP | 12MP Front Camera,"A18 Pro Chip, 6 Core Processor Processor"
229,"vivo T3 5G (Cosmic Blue, 128 GB)",4.4,"₹17,499",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
230,"vivo T3 5G (Crystal Flake, 128 GB)",4.4,"₹17,499",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
231,"vivo T3 5G (Crystal Flake, 256 GB)",4.4,"₹18,999",8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
232,"Apple iPhone 16 (Ultramarine, 128 GB)",4.6,"₹69,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor"
233,"CMF by Nothing Phone 2 Pro (White, 256 GB)",4.4,"₹20,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery
234,"CMF by Nothing Phone 2 Pro (Black, 256 GB)",4.4,"₹20,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery
235,"OnePlus 13R 5G (Nebula Noir, 512 GB)",4.5,"₹42,745",16 GB RAM | 512 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6000 mAh Battery
236,"OnePlus 13R 5G (Astral Trail, 512 GB)",4.5,"₹42,888",16 GB RAM | 512 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,6000 mAh Battery
237,"POCO C75 5G (Aqua Bliss, 128 GB)",4.3,"₹8,499",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5160 mAh Battery
238,"POCO M7 Pro 5G (Lavender Frost, 128 GB)",4.3,"₹12,999",6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery
239,"realme P2 Pro 5G (Parrot Green, 256 GB)",4.4,"₹18,750",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,5200 mAh Battery
